Crop,Soil Moisture,Temperature,Air Humidity,Pump Data
Grapes,66.77762752,29.18490786,71.78969946,0
Grapes,39.8995671,33.70720471,77.97739053,1
Grapes,64.36446039,24.76031105,60.77628206,1
Grapes,82.31735977,32.73851507,59.32354345,0
Grapes,40.44915237,25.69274449,66.62491413,1
Grapes,47.60949475,33.80680929,47.77469251,1
Grapes,80.16179032,32.65949511,40.31759197,0
Grapes,70.94773508,38.08393948,50.91595054,0
Grapes,91.78866977,35.43074707,60.82272131,0
Grapes,61.36696465,34.23292319,42.99440241,1
Grapes,76.20991676,32.45140078,72.28222536,0
Grapes,75.06846473,22.61185697,62.21459137,0
Grapes,45.75330068,27.01024863,61.77921565,1
Grapes,78.28589615,24.74705146,64.86232578,0
Grapes,63.66655019,24.01856157,56.57166562,1
Grapes,66.97497578,32.96375881,64.836761,0
Grapes,53.95493166,27.99827866,62.05800089,1
Grapes,51.52227054,27.89698264,49.92390283,1
Grapes,74.47031574,34.83673164,45.72879474,0
Grapes,43.03031207,22.46622021,40.23528975,1
Grapes,73.10493605,32.37186722,50.51121641,0
Grapes,52.87719703,23.01426608,67.31921149,1
Grapes,45.55877414,23.28497444,71.65649789,1
Grapes,88.20970916,25.51245583,74.57481526,0
Grapes,65.78527099,31.48275853,41.97814358,1
Grapes,39.13813806,37.03853837,58.10408442,1
Grapes,76.54001763,36.83077335,81.20181201,0
Grapes,41.4884753,38.64757166,71.10451413,1
Grapes,73.64725977,22.2119609,54.84962341,0
Grapes,78.70697877,29.33212651,72.40464911,0
Grapes,38.61967622,31.99541439,77.41809636,0
Grapes,65.79956521,19.02299534,78.80498538,1
Grapes,71.46008509,26.22425309,76.7051323,0
Grapes,45.13303697,34.90846594,44.35794312,0
Grapes,90.60624646,35.28726983,39.99390152,0
Grapes,87.78248762,23.86116554,61.51615757,0
Grapes,89.1712127,32.82766255,74.60337098,0
Grapes,34.31209952,22.38197726,56.59230979,1
Grapes,74.82532227,19.62990205,46.27759015,0
Grapes,87.05143659,18.44366419,58.18156467,0
Grapes,87.44589995,32.51240158,53.58096683,0
Grapes,51.56194131,29.05412642,59.45842859,1
Grapes,50.62627943,26.74577988,75.11348102,1
Grapes,89.64072794,20.66510899,46.77438853,0
Grapes,41.58583687,38.80450797,68.49685483,1
Grapes,48.56075362,32.10361139,75.83862846,1
Grapes,61.10147738,36.16177182,55.75736243,1
Grapes,68.72357736,36.62782649,68.50373606,0
Grapes,93.78786255,23.41158867,49.91586603,0
Grapes,90.88489866,20.10687481,61.10139107,0
Grapes,81.18553376,21.24283558,72.72860039,0
Grapes,78.12682485,35.32251749,49.85763478,0
Grapes,85.46643441,38.97932302,63.38915578,0
Grapes,48.0479827,30.69033234,70.88355159,1
Grapes,78.96027147,33.22723857,45.26971073,0
Grapes,48.47359963,38.23214297,44.07958961,1
Grapes,71.64227771,27.65112189,63.77504282,0
Grapes,53.73483321,33.09027604,57.73107061,1
Grapes,71.5862286,36.04671237,51.66838899,0
Grapes,65.68297139,36.29225945,44.70741231,1
Grapes,42.71099996,34.1753631,47.10764913,1
Grapes,84.75742298,23.65485943,81.2259392,0
Grapes,82.06173875,28.50899242,43.69588123,0
Grapes,57.75384324,37.67302885,39.70788536,1
Grapes,38.37614315,29.88475236,62.70444708,1
Grapes,36.89129629,29.46343116,62.03854994,1
Grapes,35.12578178,18.42114697,49.00948583,1
Grapes,38.33893688,28.58465415,59.34578281,1
Grapes,39.92402716,33.42320894,72.49057658,1
Grapes,60.30016312,33.82878329,67.41403773,1
Grapes,93.22475033,24.90582822,75.6340079,0
Grapes,70.15313318,18.87048114,69.53474979,0
Grapes,67.73863241,26.38227776,80.96259893,0
Grapes,38.57144553,27.96928989,68.06970814,1
Grapes,60.07541708,19.93847873,39.13195054,1
Grapes,85.09033439,26.67489864,78.64099226,0
Grapes,72.95706576,33.51201906,75.71614774,0
Grapes,40.85940871,34.9854744,63.34809685,1
Grapes,36.05878211,32.5903976,73.84502511,1
Grapes,71.67174705,35.94243818,78.05485409,0
Grapes,75.12712504,19.7773322,56.57729304,0
Grapes,90.25150521,32.19162455,59.64859301,0
Grapes,39.20852044,35.7290513,69.34994159,1
Grapes,67.74169148,22.62732984,50.96885041,0
Grapes,38.91493193,31.61827775,62.14365628,1
Grapes,59.66528563,29.86596628,75.2706511,1
Grapes,49.45359928,24.19754699,44.83529542,1
Grapes,71.46042643,24.91222857,44.54538979,0
Grapes,84.32679613,23.94828469,76.42347719,0
Grapes,87.48166406,25.23651133,51.31257887,0
Grapes,42.93961396,31.09212269,38.62614319,1
Grapes,86.0303422,27.33736531,61.05962015,0
Grapes,69.68145401,26.74934787,56.04137589,0
Grapes,57.59153633,21.36677755,49.64147192,1
Grapes,93.30220834,21.94951202,47.90370377,0
Grapes,31.41970024,25.07360753,69.09578913,1
Grapes,38.99935975,30.49472928,77.68885424,1
Grapes,36.65166166,34.95107323,65.18342573,1
Grapes,71.55353088,29.39140922,43.74302238,0
Grapes,72.5229923,18.23216026,67.52258734,0
Grapes,52.28220352,27.55169062,65.16688,1
Grapes,64.24679125,29.76739106,75.23687082,1
Grapes,53.82205523,26.31360596,61.53205765,1
Grapes,67.82100788,19.73742076,69.88302827,0
Grapes,90.46111621,26.65230538,65.06504994,0
Grapes,66.11607841,26.10497323,64.14603057,1
Grapes,91.87509473,18.62938351,46.78770285,0
Grapes,89.26942187,20.33003553,46.23138007,0
Grapes,66.54596512,24.10797043,74.61265567,1
Grapes,74.86246593,25.37298077,63.96610751,0
Grapes,32.44134005,32.12412901,56.49534371,1
Grapes,78.27518009,29.23046572,47.59271312,0
Grapes,80.4964231,26.56890261,39.08373386,0
Grapes,83.94329252,28.70185715,78.06252851,0
Grapes,56.01407289,19.50081239,48.16378875,1
Grapes,74.34338251,19.49655406,55.29787959,0
Grapes,72.14048672,29.63822079,41.08245597,0
Grapes,96.15328158,32.67367917,60.30390769,0
Grapes,31.50446969,25.81300635,42.08328337,1
Grapes,33.44170966,29.66185289,50.80355729,1
Grapes,44.85377437,37.98171538,39.37290809,1
Grapes,69.23114548,34.11495609,47.51864582,0
Grapes,69.95394674,37.21007959,55.09380817,0
Grapes,83.93670138,32.23315033,63.06073455,0
Grapes,46.06745587,26.40488684,65.21626683,1
Grapes,34.85266703,22.59447703,77.89861807,1
Grapes,79.77400865,29.11025263,77.05742236,0
Grapes,56.70307659,24.0014384,40.66397833,1
Grapes,33.55294195,23.62404301,81.25390177,1
Grapes,59.858812,34.93016874,70.08273855,1
Grapes,53.74117704,36.05535467,64.95732428,1
Grapes,51.82619041,30.65249738,44.64276776,1
Grapes,61.62989509,30.66098124,45.14644997,1
Grapes,32.09137566,32.29177821,80.58091972,1
Grapes,82.45090435,36.05820798,56.06359896,0
Grapes,63.83908912,31.18441036,58.3617159,1
Grapes,74.30184111,32.47033071,59.3086458,0
Grapes,36.08644095,35.23507181,47.15566418,1
